time,imu_x,x,y,phase
8.622,359.938,0.0,0.0,start
8.683,359.938,0.0,0.0,forward_1
8.745,359.938,0.0,0.0,forward_1
8.808,359.688,0.0,0.0,forward_1
8.869,359.688,0.0,0.0,forward_1
8.932,359.562,0.0,0.0,forward_1
8.992,359.562,0.0,0.0,forward_1
9.055,359.75,0.0,0.0,forward_1
9.118,359.75,0.0,0.0,forward_1
9.178,359.75,0.0,0.0,forward_1
9.241,359.812,0.0,0.0,forward_1
9.302,359.812,0.0,0.0,forward_1
9.365,359.938,0.0,0.0,forward_1
9.428,359.812,0.0,0.0,forward_1
9.488,359.812,0.0,0.0,forward_1
9.552,359.875,0.0,0.0,forward_1
9.612,359.875,0.0,0.0,forward_1
9.675,359.875,0.0,0.0,forward_1
9.738,359.875,0.0,0.0,forward_1
9.798,359.875,0.0,0.0,forward_1
9.862,359.875,0.0,0.0,forward_1
9.922,359.875,0.0,0.0,forward_1
9.985,359.938,0.0,0.0,forward_1
10.048,359.938,0.0,0.0,forward_1
10.109,359.938,0.0,0.0,forward_1
10.171,0.062,0.0,0.0,forward_1
10.232,0.062,0.0,0.0,forward_1
10.295,359.938,0.0,0.0,forward_1
10.358,359.938,0.0,0.0,forward_1
10.419,359.938,0.0,0.0,forward_1
10.482,0.188,0.0,0.0,forward_1
10.543,0.188,0.0,0.0,forward_1
10.606,0.062,0.0,0.0,forward_1
10.669,0.125,0.0,0.0,forward_1
10.73,0.125,0.0,0.0,forward_1
10.793,0.188,0.0,0.0,forward_1
10.853,0.188,0.0,0.0,forward_1
10.917,0.375,0.0,0.0,forward_1
10.98,0.562,0.0,0.0,forward_1
11.041,0.562,0.0,0.0,forward_1
11.104,0.375,0.0,0.0,forward_1
11.165,0.375,0.0,0.0,forward_1
11.228,0.438,0.0,0.0,forward_1
11.291,0.5,0.0,0.0,forward_1
11.352,0.5,0.0,0.0,forward_1
11.415,0.438,0.0,0.0,forward_1
11.476,0.438,0.0,0.0,forward_1
11.539,0.438,0.0,0.0,forward_1
11.602,0.5,0.0,0.0,forward_1
11.662,0.5,0.0,0.0,forward_1
11.725,0.5,0.0,0.0,forward_1
11.786,0.5,0.0,0.0,forward_1
11.848,0.562,0.0,0.0,forward_1
11.911,0.438,0.0,0.0,forward_1
11.972,0.438,0.0,0.0,forward_1
12.034,0.375,0.0,0.0,forward_1
12.095,0.375,0.0,0.0,forward_1
12.158,0.438,0.0,0.0,forward_1
12.22,0.375,0.0,0.0,forward_1
12.281,0.375,0.0,0.0,forward_1
12.344,0.312,0.0,0.0,forward_1
12.404,0.312,0.0,0.0,forward_1
12.468,0.375,0.0,0.0,forward_1
12.531,0.25,0.0,0.0,forward_1
12.592,0.25,0.0,0.0,forward_1
12.654,0.312,0.0,0.0,forward_1
12.715,0.312,0.0,0.0,forward_1
12.778,0.188,0.0,0.0,forward_1
12.841,0.188,0.0,0.0,forward_1
12.901,0.188,0.0,0.0,forward_1
12.965,0.125,0.0,0.0,forward_1
13.025,0.125,0.0,0.0,forward_1
13.088,0.125,0.0,0.0,forward_1
13.151,0.062,0.0,0.0,forward_1
13.212,0.062,0.0,0.0,forward_1
13.275,0.188,0.0,0.0,forward_1
13.336,0.188,0.0,0.0,forward_1
13.397,0.188,0.0,0.0,forward_1
13.458,0.25,0.0,0.0,forward_1
13.519,0.25,0.0,0.0,forward_1
13.58,0.188,0.0,0.0,forward_1
13.64,0.188,0.0,0.0,forward_1
13.702,0.188,0.0,0.0,forward_1
13.763,0.25,0.0,0.0,forward_1
13.823,0.25,0.0,0.0,forward_1
13.884,0.188,0.0,0.0,forward_1
13.945,0.188,0.0,0.0,forward_1
14.006,0.125,0.0,0.0,forward_1
14.067,0.188,0.0,0.0,forward_1
14.128,0.188,0.0,0.0,forward_1
14.189,0.188,0.0,0.0,forward_1
14.25,0.188,0.0,0.0,forward_1
14.311,0.375,0.0,0.0,forward_1
14.372,0.375,0.0,0.0,forward_1
14.433,0.25,0.0,0.0,forward_1
14.656,0.125,1.409,0.0031,forward_1_done
14.718,0.188,1.409,0.0031,turn_1
14.778,0.188,1.409,0.0031,turn_1
14.84,359.25,1.409,0.0031,turn_1
14.901,356.312,1.409,0.0031,turn_1
14.961,356.312,1.409,0.0031,turn_1
15.023,353.812,1.409,0.0031,turn_1
15.083,353.812,1.409,0.0031,turn_1
15.144,351.5,1.409,0.0031,turn_1
15.206,349.0,1.409,0.0031,turn_1
15.266,349.0,1.409,0.0031,turn_1
15.327,346.25,1.409,0.0031,turn_1
15.388,346.25,1.409,0.0031,turn_1
15.449,343.688,1.409,0.0031,turn_1
15.509,343.688,1.409,0.0031,turn_1
15.571,341.0,1.409,0.0031,turn_1
15.632,337.938,1.409,0.0031,turn_1
15.693,337.938,1.409,0.0031,turn_1
15.754,335.0,1.409,0.0031,turn_1
15.814,335.0,1.409,0.0031,turn_1
15.876,331.75,1.409,0.0031,turn_1
15.937,328.625,1.409,0.0031,turn_1
15.997,328.625,1.409,0.0031,turn_1
16.059,325.25,1.409,0.0031,turn_1
16.119,325.25,1.409,0.0031,turn_1
16.181,322.25,1.409,0.0031,turn_1
16.242,319.188,1.409,0.0031,turn_1
16.303,319.188,1.409,0.0031,turn_1
16.364,315.75,1.409,0.0031,turn_1
16.424,315.75,1.409,0.0031,turn_1
16.486,312.812,1.409,0.0031,turn_1
16.547,310.0,1.409,0.0031,turn_1
16.608,310.0,1.409,0.0031,turn_1
16.669,306.875,1.409,0.0031,turn_1
16.73,306.875,1.409,0.0031,turn_1
16.791,303.938,1.409,0.0031,turn_1
16.851,303.938,1.409,0.0031,turn_1
16.913,300.812,1.409,0.0031,turn_1
16.974,297.312,1.409,0.0031,turn_1
17.034,297.312,1.409,0.0031,turn_1
17.096,294.125,1.409,0.0031,turn_1
17.156,294.125,1.409,0.0031,turn_1
17.217,290.938,1.409,0.0031,turn_1
17.279,288.0,1.409,0.0031,turn_1
17.339,288.0,1.409,0.0031,turn_1
17.4,284.75,1.409,0.0031,turn_1
17.461,284.75,1.409,0.0031,turn_1
17.522,282.125,1.409,0.0031,turn_1
17.583,279.688,1.409,0.0031,turn_1
17.644,279.688,1.409,0.0031,turn_1
17.705,277.125,1.409,0.0031,turn_1
17.765,277.125,1.409,0.0031,turn_1
17.827,275.0,1.409,0.0031,turn_1
17.888,272.938,1.409,0.0031,turn_1
17.948,272.938,1.409,0.0031,turn_1
18.09,271.062,1.409,0.0031,turn_1_done
18.153,269.188,1.409,0.0031,forward_2
18.214,269.562,1.409,0.0031,forward_2
18.275,269.562,1.409,0.0031,forward_2
18.338,270.188,1.409,0.0031,forward_2
18.399,270.188,1.409,0.0031,forward_2
18.462,270.438,1.409,0.0031,forward_2
18.525,270.625,1.409,0.0031,forward_2
18.586,270.625,1.409,0.0031,forward_2
18.649,270.812,1.409,0.0031,forward_2
18.709,270.812,1.409,0.0031,forward_2
18.772,270.875,1.409,0.0031,forward_2
18.835,270.812,1.409,0.0031,forward_2
18.896,270.812,1.409,0.0031,forward_2
18.959,270.812,1.409,0.0031,forward_2
19.02,270.812,1.409,0.0031,forward_2
19.083,270.688,1.409,0.0031,forward_2
19.146,270.562,1.409,0.0031,forward_2
19.206,270.562,1.409,0.0031,forward_2
19.269,270.688,1.409,0.0031,forward_2
19.33,270.688,1.409,0.0031,forward_2
19.393,271.0,1.409,0.0031,forward_2
19.456,271.125,1.409,0.0031,forward_2
19.516,271.125,1.409,0.0031,forward_2
19.58,271.125,1.409,0.0031,forward_2
19.64,271.125,1.409,0.0031,forward_2
19.703,271.125,1.409,0.0031,forward_2
19.766,271.062,1.409,0.0031,forward_2
19.827,271.062,1.409,0.0031,forward_2
19.89,270.875,1.409,0.0031,forward_2
19.95,270.875,1.409,0.0031,forward_2
20.013,270.875,1.409,0.0031,forward_2
20.076,271.0,1.409,0.0031,forward_2
20.137,271.0,1.409,0.0031,forward_2
20.2,271.188,1.409,0.0031,forward_2
20.26,271.188,1.409,0.0031,forward_2
20.323,271.438,1.409,0.0031,forward_2
20.386,271.375,1.409,0.0031,forward_2
20.447,271.375,1.409,0.0031,forward_2
20.51,271.375,1.409,0.0031,forward_2
20.571,271.375,1.409,0.0031,forward_2
20.634,271.375,1.409,0.0031,forward_2
20.697,271.125,1.409,0.0031,forward_2
20.758,271.125,1.409,0.0031,forward_2
20.821,271.188,1.409,0.0031,forward_2
20.881,271.188,1.409,0.0031,forward_2
20.944,271.312,1.409,0.0031,forward_2
21.008,271.5,1.409,0.0031,forward_2
21.068,271.5,1.409,0.0031,forward_2
21.132,271.688,1.409,0.0031,forward_2
21.192,271.688,1.409,0.0031,forward_2
21.256,271.75,1.409,0.0031,forward_2
21.319,271.625,1.409,0.0031,forward_2
21.38,271.625,1.409,0.0031,forward_2
21.443,271.5,1.409,0.0031,forward_2
21.504,271.5,1.409,0.0031,forward_2
21.567,271.312,1.409,0.0031,forward_2
21.63,271.375,1.409,0.0031,forward_2
21.69,271.375,1.409,0.0031,forward_2
21.753,271.438,1.409,0.0031,forward_2
21.814,271.438,1.409,0.0031,forward_2
21.877,271.75,1.409,0.0031,forward_2
21.94,272.062,1.409,0.0031,forward_2
22.0,272.062,1.409,0.0031,forward_2
22.063,272.125,1.409,0.0031,forward_2
22.126,272.0,1.409,0.0031,forward_2
22.187,272.0,1.409,0.0031,forward_2
22.456,271.625,1.4374,-0.9971,forward_2_done
22.517,271.625,1.4374,-0.9971,turn_2
22.582,271.625,1.4374,-0.9971,turn_2
22.643,269.0,1.4374,-0.9971,turn_2
22.704,269.0,1.4374,-0.9971,turn_2
22.765,266.312,1.4374,-0.9971,turn_2
22.825,266.312,1.4374,-0.9971,turn_2
22.887,263.75,1.4374,-0.9971,turn_2
22.947,263.75,1.4374,-0.9971,turn_2
23.008,261.0,1.4374,-0.9971,turn_2
23.07,258.188,1.4374,-0.9971,turn_2
23.13,258.188,1.4374,-0.9971,turn_2
23.191,254.938,1.4374,-0.9971,turn_2
23.252,254.938,1.4374,-0.9971,turn_2
23.313,252.0,1.4374,-0.9971,turn_2
23.375,248.875,1.4374,-0.9971,turn_2
23.435,248.875,1.4374,-0.9971,turn_2
23.497,245.562,1.4374,-0.9971,turn_2
23.557,245.562,1.4374,-0.9971,turn_2
23.619,242.688,1.4374,-0.9971,turn_2
23.68,239.812,1.4374,-0.9971,turn_2
23.74,239.812,1.4374,-0.9971,turn_2
23.802,236.5,1.4374,-0.9971,turn_2
23.862,236.5,1.4374,-0.9971,turn_2
23.924,233.562,1.4374,-0.9971,turn_2
23.984,230.5,1.4374,-0.9971,turn_2
24.045,230.5,1.4374,-0.9971,turn_2
24.107,227.375,1.4374,-0.9971,turn_2
24.167,227.375,1.4374,-0.9971,turn_2
24.228,224.125,1.4374,-0.9971,turn_2
24.289,224.125,1.4374,-0.9971,turn_2
24.35,221.062,1.4374,-0.9971,turn_2
24.411,218.0,1.4374,-0.9971,turn_2
24.472,218.0,1.4374,-0.9971,turn_2
24.533,214.312,1.4374,-0.9971,turn_2
24.594,214.312,1.4374,-0.9971,turn_2
24.655,210.938,1.4374,-0.9971,turn_2
24.716,207.438,1.4374,-0.9971,turn_2
24.777,207.438,1.4374,-0.9971,turn_2
24.838,204.062,1.4374,-0.9971,turn_2
24.898,204.062,1.4374,-0.9971,turn_2
24.96,200.688,1.4374,-0.9971,turn_2
