time,imu_x,x,y,phase
29.113,13.25,0.0,0.0,start
29.174,13.25,0.0,0.0,forward_1
29.238,13.25,0.0,0.0,forward_1
29.298,13.375,0.0,0.0,forward_1
29.361,13.375,0.0,0.0,forward_1
29.421,13.5,0.0,0.0,forward_1
29.484,13.438,0.0,0.0,forward_1
29.547,13.438,0.0,0.0,forward_1
29.607,13.5,0.0,0.0,forward_1
29.67,13.5,0.0,0.0,forward_1
29.731,13.562,0.0,0.0,forward_1
29.794,13.562,0.0,0.0,forward_1
29.857,13.562,0.0,0.0,forward_1
29.917,13.688,0.0,0.0,forward_1
29.98,13.688,0.0,0.0,forward_1
30.041,13.75,0.0,0.0,forward_1
30.104,13.75,0.0,0.0,forward_1
30.167,13.75,0.0,0.0,forward_1
30.227,13.812,0.0,0.0,forward_1
30.29,13.812,0.0,0.0,forward_1
30.351,13.812,0.0,0.0,forward_1
30.414,13.875,0.0,0.0,forward_1
30.477,13.875,0.0,0.0,forward_1
30.537,14.0,0.0,0.0,forward_1
30.6,14.0,0.0,0.0,forward_1
30.661,14.062,0.0,0.0,forward_1
30.724,14.188,0.0,0.0,forward_1
30.788,14.188,0.0,0.0,forward_1
30.848,14.25,0.0,0.0,forward_1
30.911,14.25,0.0,0.0,forward_1
30.972,14.438,0.0,0.0,forward_1
31.035,14.375,0.0,0.0,forward_1
31.098,14.375,0.0,0.0,forward_1
31.158,14.562,0.0,0.0,forward_1
31.221,14.562,0.0,0.0,forward_1
31.281,14.625,0.0,0.0,forward_1
31.344,14.625,0.0,0.0,forward_1
31.407,14.625,0.0,0.0,forward_1
31.468,14.625,0.0,0.0,forward_1
31.531,14.625,0.0,0.0,forward_1
31.591,14.812,0.0,0.0,forward_1
31.654,14.875,0.0,0.0,forward_1
31.718,14.875,0.0,0.0,forward_1
31.778,15.0,0.0,0.0,forward_1
31.841,15.0,0.0,0.0,forward_1
31.902,14.875,0.0,0.0,forward_1
31.965,14.938,0.0,0.0,forward_1
32.028,14.938,0.0,0.0,forward_1
32.089,14.875,0.0,0.0,forward_1
32.152,14.875,0.0,0.0,forward_1
32.212,14.875,0.0,0.0,forward_1
32.275,14.875,0.0,0.0,forward_1
32.338,14.875,0.0,0.0,forward_1
32.399,15.0,0.0,0.0,forward_1
